DBNum	LCID	Locale	Number Format	0123456789				1E1	1E2	1E3	1E4	1E5	1E6	1E7	1E8	1E9	1E10	1E11	1E12
1	0x404	zh-TW	[DBNum1][$-404]0000000000 (zh-TW)	○一二三四五六七八九				一十	一百	一千	一萬	一十萬	一百萬	一千萬	一億	一十億	一百億	一千億	一兆
1	0x411	ja-JP	[DBNum1][$-411]0000000000 (ja-JP)	〇一二三四五六七八九				十	百	千	一万	十万	百万	千万	一億	十億	百億	千億	一兆
1	0x412	ko-KR	[DBNum1][$-412]0000000000 (ko-KR)	０一二三四五六七八九				一十	一百	一千	一万	一十万	一百万	一千万	一億	一十億	一百億	一千億	一兆
1	0x804	zh-CN	[DBNum1][$-804]0000000000 (zh-CN)	○一二三四五六七八九				一十	一百	一千	一万	一十万	一百万	一千万	一亿	一十亿	一百亿	一千亿	一兆
2	0x404	zh-TW	[DBNum2][$-404]0000000000 (zh-TW)	零壹貳參肆伍陸柒捌玖				壹拾	壹佰	壹仟	壹萬	壹拾萬	壹佰萬	壹仟萬	壹億	壹拾億	壹佰億	壹仟億	壹兆
2	0x411	ja-JP	[DBNum2][$-411]0000000000 (ja-JP)	〇壱弐参四伍六七八九				壱拾	壱百	壱阡	壱萬	壱拾萬	壱百萬	壱阡萬	壱億	壱拾億	壱百億	壱阡億	壱兆
2	0x412	ko-KR	[DBNum2][$-412]0000000000 (ko-KR)	零壹貳參四伍六七八九				壹拾	壹百	壹阡	壹萬	壹拾萬	壹百萬	壹阡萬	壹億	壹拾億	壹百億	壹阡億	壹兆
2	0x804	zh-CN	[DBNum2][$-804]0000000000 (zh-CN)	零壹贰叁肆伍陆柒捌玖				壹拾	壹佰	壹仟	壹万	壹拾万	壹佰万	壹仟万	壹亿	壹拾亿	壹佰亿	壹仟亿	壹兆
3	0x404	zh-TW	[DBNum3][$-404]0000000000 (zh-TW)	０１２３４５６７８９				１十	１百	１千	１萬	１十萬	１百萬	１千萬	１億	１十億	１百億	１千億	１兆
3	0x411	ja-JP	[DBNum3][$-411]0000000000 (ja-JP)	０１２３４５６７８９				十	百	千	１万	十万	百万	千万	１億	十億	百億	千億	１兆
3	0x412	ko-KR	[DBNum3][$-412]0000000000 (ko-KR)	０１２３４５６７８９				十	百	千	１万	十万	百万	千万	１億	十億	百億	千億	１兆
3	0x804	zh-CN	[DBNum3][$-804]0000000000 (zh-CN)	０１２３４５６７８９				１十	１百	１千	１万	１十万	１百万	１千万	１亿	１十亿	１百亿	１千亿	１兆
